title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
"2 BHK Apartment for Sale in Sector 95A, Pataudi Road Gurgaon",₹82 Lac,654 sqft,https://www.magicbricks.com/signature-the-roselia-sector-95a-gurgaon-pdpid-4d4235303937303835,1,1,2025-08-10 19:24:46.619513,Updated today,2025-08-10 12:00:00.000000,2,,2 BHK,Semi-Furnished,15 out of 17,,Signature The Roselia,Ready to Move,,,,Resale,
3 BHK Apartment for Sale in Phase 1 DLF Gurgaon,₹3 Cr,1800 sqft,https://www.magicbricks.com/dlf-city-plot-phase-1-dlf-phase-1-gurgaon-pdpid-4d4235303934333035,1,2,2025-08-10 19:24:46.621464,Updated today,2025-08-10 12:00:00.000000,3,3,3 BHK,Furnished,3 out of 4,,DLF City Plot Phase 1,Ready to Move,East,"2 Covered,",Freehold,Resale,"Garden/Park, Main Road"
3 BHK Apartment for Sale in Sector 2 Sohna Gurgaon,₹1.80 Cr,1465 sqft,https://www.magicbricks.com/lorven-ashiana-mulberry-sohna-sector-2-gurgaon-pdpid-4d4235303738383139,1,3,2025-08-10 19:24:46.623004,Updated today,2025-08-10 12:00:00.000000,2,4,3 BHK,Semi-Furnished,8 out of 17,,Lorven Ashiana Mulberry,Ready to Move,East,,Freehold,Resale,"Pool, Garden/Park, Main Road"
2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,₹1.70 Cr,1385 sqft,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,1,5,2025-08-10 19:24:46.625329,Updated 16 hours ago,2025-08-10 03:24:46.624306,2,3,2 BHK,Unfurnished,15 out of 22,,Godrej Nature Plus,Ready to Move,East,,Freehold,Resale,Garden/Park
"2 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹64 Lac,516 sqft,https://www.magicbricks.com/the-trisara-apex-our-homes-sector-37c-gurgaon-pdpid-4d4235303239383330,1,7,2025-08-10 19:24:46.627494,Updated today,2025-08-10 12:00:00.000000,1,1,2 BHK,Semi-Furnished,4 out of 11,,The Trisara Apex Our Homes,Ready to Move,,,Freehold,Resale,
2 BHK Builder Floor for Sale in Sector 82 Gurgaon,₹1.30 Cr,1133 sqft,https://www.magicbricks.com/vatika-india-next-sector-82-gurgaon-pdpid-4d4235303030303336,1,9,2025-08-10 19:24:46.629735,Updated 14 hours ago,2025-08-10 05:24:46.628724,2,3,2 BHK,Semi-Furnished,2 out of 2,,Vatika India Next,Ready to Move,South,,Freehold,Resale,Garden/Park
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,₹2.60 Cr,2066 sqft,https://www.magicbricks.com/godrej-oasis-dwarka-expressway-gurgaon-pdpid-4d4235303431363339,1,11,2025-08-10 19:24:46.631960,Updated 14 hours ago,2025-08-10 05:24:46.630936,3,4,3 BHK,Semi-Furnished,11 out of 18,,Godrej Oasis,Ready to Move,,2 Covered,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Sector 68 Gurgaon,₹2.12 Cr,1325 sqft,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,1,14,2025-08-10 19:24:46.634705,Updated 14 hours ago,2025-08-10 05:24:46.633727,2,4,2 BHK,Furnished,3 out of 15,,M3M Marina,Ready to Move,South -West,,Leasehold,Resale,"Garden/Park, Pool"
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,₹4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,15,2025-08-10 19:24:46.636225,Updated 14 hours ago,2025-08-10 05:24:46.635232,4,2,3 BHK,Semi-Furnished,21 out of 44,,Indiabulls Estate and Club,,,,,New Property,"Garden/Park, Main Road, Pool"
2 BHK Apartment for Sale in Sector 60 Gurgaon,₹2.95 Cr,1540 sqft,https://www.magicbricks.com/ireo-skyon-sector-60-gurgaon-pdpid-4d4235303230313733,1,16,2025-08-10 19:24:46.637904,Updated 14 hours ago,2025-08-10 05:24:46.636843,3,2,2 BHK,Semi-Furnished,2 out of 12,,IREO Skyon,Ready to Move,North - West,2 Covered,Freehold,Resale,Garden/Park
