title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking
2 BHK Apartment for Sale in Bagalur Main Road Bangalore,₹70 Lac,795 sqft,https://www.magicbricks.com/brigade-el-dorado-bagalur-main-road-bangalore-pdpid-4d4235313234343235,1,4,2025-08-10 19:36:25.122765,Updated today,2025-08-10 12:00:00,2,,2 BHK,Unfurnished,11 out of 23,,Brigade El Dorado,Ready to Move,West,,Freehold,Resale,Garden/Park
2 BHK Apartment for Sale in Kothanur Bangalore,₹1.80 Cr,1232 sqft,https://www.magicbricks.com/purva-palm-beach-kothanur-bangalore-pdpid-4d4235303337393936,1,5,2025-08-10 19:36:25.124069,Posted:   Yesterday,2025-08-09 12:00:00,2,1,2 BHK,Furnished,Ground out of 18,,Purva Palm Beach,Ready to Move,,,,Resale,
4 BHK Apartment for Sale in Krishnarajapura Bangalore,₹4.75 Cr,3630 sqft,https://www.magicbricks.com/brigade-exotica-k-r-puram-bangalore-pdpid-4d4235303233313334,1,6,2025-08-10 19:36:25.125470,Updated today,2025-08-10 12:00:00,5,,4 BHK,Semi-Furnished,20 out of 25,,Brigade Exotica,Ready to Move,,,,Resale,
2 BHK Apartment for Sale in Huvinayakanahalli Bangalore,₹90 Lac,592 sqft,https://www.magicbricks.com/krypton-at-brigade-eldorado-huvinayakanahalli-bangalore-pdpid-4d4235333335363535,1,7,2025-08-10 19:36:25.126963,Updated today,2025-08-10 12:00:00,2,1,2 BHK,Semi-Furnished,6 out of 21,,Krypton at Brigade Eldorado,Ready to Move,West,,Freehold,Resale,Garden/Park
4 BHK Villa for Sale in Bannerghatta Main Road Bangalore,₹2.80 Cr,4500 sqft,https://www.magicbricks.com/pride-vatika-bannerghatta-main-road-bangalore-pdpid-4d4235303037383031,1,10,2025-08-10 19:36:25.129465,Updated today,2025-08-10 12:00:00,6,5,4 BHK,Unfurnished,,,Pride Vatika,Ready to Move,West,,Freehold,Resale,
3 BHK Apartment for Sale in Panathur Bangalore,₹2.10 Cr,1507 sqft,https://www.magicbricks.com/sobha-sentosa-panathur-bangalore-pdpid-4d4235333239323937,1,11,2025-08-10 19:36:25.131070,Updated today,2025-08-10 12:00:00,3,1,3 BHK,Unfurnished,17 out of 17,,Sobha Sentosa,,North - West,,,Resale,
4 BHK Apartment for Sale in Yelahanka Bangalore,₹1.80 Cr,2650 sqft,https://www.magicbricks.com/almond-tree-yelahanka-bangalore-pdpid-4d4235303232353433,1,12,2025-08-10 19:36:25.132342,Updated today,2025-08-10 12:00:00,4,4,4 BHK,Semi-Furnished,1 out of 2,,Almond Tree,Ready to Move,,,,Resale,
3 BHK Apartment for Sale in Kadugodi Bangalore,₹1.29 Cr,1200 sqft,https://www.magicbricks.com/amrutha-maple-kadugodi-bangalore-pdpid-4d4235313131313433,1,16,2025-08-10 19:36:25.135478,Updated today,2025-08-10 12:00:00,3,2,3 BHK,Semi-Furnished,Ground out of 4,,Amrutha Maple,Ready to Move,East,2 Covered,Freehold,New Property,"Garden/Park, Main Road, Pool"
Plot/Land for Sale in Chandapura Bangalore,₹48 Lac,1200 sqft,https://www.magicbricks.com/upkar-spring-fields-chandapura-bangalore-pdpid-4d4235303137303231,1,17,2025-08-10 19:36:25.136639,Updated today,2025-08-10 12:00:00,,,Plot,,,,Upkar Spring Fields,,,,,Resale,
2 BHK Apartment for Sale in Sree Narayana Nagar Bangalore,₹39 Lac,685 sqft,https://www.magicbricks.com/bavisha-urban-homes-sree-narayana-nagar-bangalore-pdpid-4d4235313134383935,1,19,2025-08-10 19:36:25.138686,Updated today,2025-08-10 12:00:00,2,,2 BHK,Semi-Furnished,4 out of 4,,Bavisha Urban Homes,Ready to Move,North - East,1 Covered,Freehold,Resale,"Garden/Park, Pool"
1 BHK Apartment for Sale in Basavanagara Bangalore,₹28 Lac,475 sqft,https://www.magicbricks.com/jana-jeeva-apartments-basavanagara-bangalore-pdpid-4d4235313930353433,1,21,2025-08-10 19:36:25.140844,Updated today,2025-08-10 12:00:00,1,1,1 BHK,Semi-Furnished,1 out of 4,,Jana Jeeva Apartments,Ready to Move,East,,Freehold,Resale,
