title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
4 BHK Apartment for Sale in Golf Course Road Gurgaon,9 Cr,3120 sqft,https://www.magicbricks.com/parsvnath-exotica-golf-course-road-gurgaon-pdpid-4d4235303139373132,1,2,2025-08-12 20:24:50.997764,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,4 BHK,Semi-Furnished,3 out of 17,,Parsvnath Exotica,Ready to Move,North,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",109.1,[],True
"3 BHK Apartment for Sale in Sector 77, Delhi Gurgaon Expressway Gurgaon",1.90 Cr,1450 sqft,https://www.magicbricks.com/emaar-palm-hills-sector-77-gurgaon-pdpid-4d4235303232343931,1,3,2025-08-12 20:24:51.000641,Posted: Yesterday,2025-08-11 12:00:00.000000,False,standard,[],3,3,3 BHK,Semi-Furnished,3 out of 10,,Emaar Palm Hills,Ready to Move,North - East,,Freehold,Resale,Garden/Park,95.5,[],True
4 BHK Builder Floor for Sale in Block F DLF Phase 1 Gurgaon,4.75 Cr,2300 sqft,,1,4,2025-08-12 20:24:51.003830,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],5,2,4 BHK,Semi-Furnished,3 out of 4,,,Ready to Move,,,Freehold,Resale,,86.4,['Missing property URL'],False
3 BHK Apartment for Sale in Pataudi Road Gurgaon,2.25 Cr,2200 sqft,https://www.magicbricks.com/tulip-infratech-ace-pataudi-road-gurgaon-pdpid-4d4235303137313634,1,5,2025-08-12 20:24:51.006804,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,4,3 BHK,Semi-Furnished,8 out of 12,,Tulip Infratech Ace,Ready to Move,,,,New Property,"Main Road, Pool, Garden/Park",95.5,[],True
4 BHK Apartment for Sale in Sector 91 Gurgaon,3.75 Cr,2700 sqft,https://www.magicbricks.com/dlf-new-town-heights-3-sector-91-gurgaon-pdpid-4d4235303837323937,1,6,2025-08-12 20:24:51.011370,Updated today,2025-08-12 12:00:00.000000,False,standard,[],4,4,4 BHK,Semi-Furnished,7 out of 21,,DLF New Town Heights 3,Ready to Move,East,"2 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road",100.0,[],True
3 BHK Apartment for Sale in Sector 63A Gurgaon,3.15 Cr,1900 sqft,https://www.magicbricks.com/signature-global-city-63a-sector-63a-gurgaon-pdpid-4d4235333333323633,1,7,2025-08-12 20:24:51.015328,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],3,2,3 BHK,Semi-Furnished,4 out of 4,,Signature Global City 63A,Ready to Move,North,,Freehold,Resale,Garden/Park,104.5,[],True
4 BHK Builder Floor for Sale in Sushant Lok 2 Sector 57 Gurgaon,4.95 Cr,275 sqyrd,,1,8,2025-08-12 20:24:51.018830,Updated today,2025-08-12 12:00:00.000000,True,premium,['text_premium'],4,3,4 BHK,Semi-Furnished,4 out of 5,,,Ready to Move,South -West,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",100.0,['Missing property URL'],False
3 BHK Apartment for Sale in Sector 89 Gurgaon,1.30 Cr,1320 sqft,https://www.magicbricks.com/tulip-petals-sector-89-gurgaon-pdpid-4d4235303137313632,1,9,2025-08-12 20:24:51.021095,Updated 17 hours ago,2025-08-12 03:24:51.020171,False,standard,[],2,3,3 BHK,Unfurnished,4 out of 11,,Tulip Petals,Ready to Move,,,,Resale,,81.8,[],True
4 BHK Builder Floor for Sale in Sector 55 Gurgaon,3.41 Cr,230 sqyrd,,1,10,2025-08-12 20:24:51.023527,Updated 15 hours ago,2025-08-12 05:24:51.022350,True,premium,['text_premium'],4,2,4 BHK,Unfurnished,4 out of 4,,,Ready to Move,South - East,,Freehold,Resale,"Garden/Park, Pool, Main Road",95.5,['Missing property URL'],False
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,11,2025-08-12 20:24:51.026086,Updated 15 hours ago,2025-08-12 05:24:51.024983,True,premium,['text_premium'],4,2,3 BHK,Semi-Furnished,21 out of 44,,Indiabulls Estate and Club,,,,,New Property,"Garden/Park, Main Road, Pool",90.9,[],True
