title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
4 BHK Apartment for Sale in Golf Course Road Gurgaon,9 Cr,3120 sqft,https://www.magicbricks.com/parsvnath-exotica-golf-course-road-gurgaon-pdpid-4d4235303139373132,1,2,2025-08-12 18:16:13.304248,Updated today,2025-08-12 12:00:00.000000,4,4,4 BHK,Semi-Furnished,3 out of 17,,Parsvnath Exotica,Ready to Move,North,"1 Covered,",Freehold,Resale,"Garden/Park, Main Road",110.5,[],True
"3 BHK Apartment for Sale in Sector 77, Delhi Gurgaon Expressway Gurgaon",1.90 Cr,1450 sqft,https://www.magicbricks.com/emaar-palm-hills-sector-77-gurgaon-pdpid-4d4235303232343931,1,3,2025-08-12 18:16:13.306226,Posted: Yesterday,2025-08-11 12:00:00.000000,3,3,3 BHK,Semi-Furnished,3 out of 10,,Emaar Palm Hills,Ready to Move,North - East,,Freehold,Resale,Garden/Park,105.3,[],True
3 BHK Apartment for Sale in Pataudi Road Gurgaon,2.25 Cr,2200 sqft,https://www.magicbricks.com/tulip-infratech-ace-pataudi-road-gurgaon-pdpid-4d4235303137313634,1,5,2025-08-12 18:16:13.308474,Updated today,2025-08-12 12:00:00.000000,4,4,3 BHK,Semi-Furnished,8 out of 12,,Tulip Infratech Ace,Ready to Move,,,,New Property,"Main Road, Pool, Garden/Park",94.7,[],True
4 BHK Apartment for Sale in Sector 91 Gurgaon,3.75 Cr,2700 sqft,https://www.magicbricks.com/dlf-new-town-heights-3-sector-91-gurgaon-pdpid-4d4235303837323937,1,6,2025-08-12 18:16:13.310289,Updated today,2025-08-12 12:00:00.000000,4,4,4 BHK,Semi-Furnished,7 out of 21,,DLF New Town Heights 3,Ready to Move,East,"2 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road",110.5,[],True
3 BHK Apartment for Sale in Sector 63A Gurgaon,3.15 Cr,1900 sqft,https://www.magicbricks.com/signature-global-city-63a-sector-63a-gurgaon-pdpid-4d4235333333323633,1,7,2025-08-12 18:16:13.312177,Updated today,2025-08-12 12:00:00.000000,3,2,3 BHK,Semi-Furnished,4 out of 4,,Signature Global City 63A,Ready to Move,North,,Freehold,Resale,Garden/Park,105.3,[],True
3 BHK Apartment for Sale in Sector 89 Gurgaon,1.30 Cr,1320 sqft,https://www.magicbricks.com/tulip-petals-sector-89-gurgaon-pdpid-4d4235303137313632,1,9,2025-08-12 18:16:13.314352,Updated 15 hours ago,2025-08-12 03:16:13.313402,2,3,3 BHK,Unfurnished,4 out of 11,,Tulip Petals,Ready to Move,,,,Resale,,89.5,[],True
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,4.62 Cr,2570 sqft,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,1,11,2025-08-12 18:16:13.317265,Updated 13 hours ago,2025-08-12 05:16:13.316215,4,2,3 BHK,Semi-Furnished,21 out of 44,,Indiabulls Estate and Club,,,,,New Property,"Garden/Park, Main Road, Pool",89.5,[],True
2 BHK Apartment for Sale in Sector 68 Gurgaon,2.12 Cr,1325 sqft,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,1,12,2025-08-12 18:16:13.319182,Updated 13 hours ago,2025-08-12 05:16:13.318005,2,4,2 BHK,Furnished,3 out of 15,,M3M Marina,Ready to Move,South -West,,Leasehold,Resale,"Garden/Park, Pool",105.3,[],True
4 BHK Builder Floor for Sale in Sector 66 Gurgaon,5.35 Cr,1542 sqft,https://www.magicbricks.com/emaar-mgf-marbella-sector-66-gurgaon-pdpid-4d4235303232343438,1,13,2025-08-12 18:16:13.320781,Updated today,2025-08-12 12:00:00.000000,3,3,4 BHK,Semi-Furnished,2 out of 4,,Emaar MGF Marbella,Ready to Move,,,,Resale,,89.5,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.12 Cr,1993 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,14,2025-08-12 18:16:13.322242,Updated today,2025-08-12 12:00:00.000000,3,1,3 BHK,Furnished,23 out of 32,,Godrej Aristocrat,,,,,Resale,,84.2,[],True
